random_moves,optimized_hillclimber_moves,runtime
3126,2766,0.1049191951751709
9521,9179,0.27187681198120117
75335,74993,2.091331958770752
19357,19005,0.544072151184082
38979,38655,1.0854361057281494
4911,4589,0.1423659324645996
15300,14958,0.42690372467041016
5836,5530,0.16480207443237305
5097,4783,0.14519095420837402
2119,1777,0.06232190132141113
10030,9714,0.2796518802642822
8551,8225,0.24043607711791992
3200,2800,0.09612631797790527
8855,8509,0.24970602989196777
10194,9852,0.28647804260253906
5042,4710,0.1440591812133789
3532,3200,0.10297226905822754
2648,2282,0.07840204238891602
5439,5069,0.15722918510437012
5421,5123,0.15461111068725586
7241,6891,0.20563101768493652
7128,6774,0.20149517059326172
23775,23419,0.6575422286987305
860,540,0.0314178466796875
26509,26183,0.738696813583374
8384,8036,0.238508939743042
25636,25290,0.7097032070159912
5867,5523,0.1694190502166748
5876,5538,0.16766834259033203
15881,15529,0.44169187545776367
5937,5587,0.169464111328125
15301,14927,0.42680978775024414
12066,11688,0.3366508483886719
10907,10573,0.30568981170654297
2493,2147,0.07533812522888184
19330,18994,0.5342509746551514
1295,987,0.04123806953430176
18825,18517,0.5220351219177246
13731,13363,0.38503026962280273
21782,21456,0.6040089130401611
2076,1754,0.06252217292785645
5976,5612,0.17034292221069336
10793,10465,0.3032870292663574
27642,27340,0.7673547267913818
1323,975,0.04110121726989746
7147,6871,0.20021605491638184
5677,5361,0.16071510314941406
1463,1125,0.04638099670410156
24858,24518,0.6868579387664795
20465,20129,0.5730748176574707
15057,14707,0.42179203033447266
13059,12745,0.3641011714935303
19309,18971,0.5354223251342773
19491,19163,0.5389580726623535
3105,2783,0.09119105339050293
2247,1851,0.06838774681091309
42219,41869,1.1624870300292969
17833,17513,0.5044379234313965
8027,7647,0.2289590835571289
23496,23140,0.6559011936187744
2331,1969,0.07159090042114258
7639,7303,0.21692204475402832
6048,5750,0.17057514190673828
23614,23272,0.657742977142334
2184,1858,0.06552910804748535
10905,10601,0.30404019355773926
16218,15862,0.45155811309814453
6359,6047,0.1791679859161377
16181,15813,0.4508979320526123
14551,14257,0.40126514434814453
21338,21012,0.6071822643280029
14899,14585,0.41295790672302246
9409,9083,0.2634129524230957
8171,7867,0.22818684577941895
9755,9423,0.2707960605621338
8465,8135,0.23670721054077148
4135,3793,0.11883687973022461
14548,14208,0.4050929546356201
10291,10031,0.2842981815338135
2483,2147,0.07358098030090332
10700,10370,0.29914307594299316
9372,9012,0.26372194290161133
22022,21714,0.6069610118865967
20724,20400,0.5756831169128418
55150,54834,1.520923137664795
7095,6739,0.20498299598693848
5077,4743,0.14615821838378906
5037,4729,0.14280176162719727
18420,18104,0.5085461139678955
1629,1309,0.05083298683166504
50690,50384,1.3888700008392334
841,509,0.03142499923706055
7819,7465,0.22139906883239746
3428,3102,0.09959292411804199
2749,2377,0.08211207389831543
1390,1072,0.04354596138000488
47025,46681,1.2944660186767578
4992,4664,0.14540696144104004
9521,9189,0.2679481506347656
5783,5459,0.16382193565368652
